Case,AoA,NumPan,CL,CD
1,-5.0,250,-0.7257253449650336,-0.0010271503216056918
1,-5.0,500,-0.7222958765981597,-0.0022175000211948344
1,-5.0,1000,-0.7238790245344348,-0.0016082030737559604
1,-4.0,250,-0.5796908218815472,-0.0026500056905527677
1,-4.0,500,-0.5764509780641527,-0.0035809377506080707
1,-4.0,1000,-0.5783981516254691,-0.0033328867916789856
1,-3.0,250,-0.43333406683164605,-0.004041914771511187
1,-3.0,500,-0.43032992484956456,-0.004724289360990035
1,-3.0,1000,-0.43258157942984676,-0.004808084356976588
1,-2.0,250,-0.2867264383413338,-0.005187694178448001
1,-2.0,500,-0.2840022054948792,-0.005635473447472523
1,-2.0,1000,-0.2865023284823364,-0.006018389135413077
1,-1.0,250,-0.13994024178713974,-0.006073920930314964
1,-1.0,500,-0.13753821295824376,-0.006303948565374071
1,-1.0,1000,-0.1402344179587865,-0.0069502686111137
1,0.0,250,0.006951414435764166,-0.0066889943107931345
1,0.0,500,0.008990879202841239,-0.0067207778335538725
1,0.0,1000,0.006147285988716576,-0.007592129994730551
1,1.0,250,0.15387476636502187,-0.00702318895633961
1,1.0,500,0.1555132456318385,-0.0068786862503939
1,1.0,1000,0.1525672261081221,-0.007934376303176964
1,2.0,250,0.30075554504426505,-0.007068698708211691
1,2.0,500,0.3019565421361143,-0.006772110711301408
1,2.0,1000,0.2989493132218591,-0.007969452936256987
1,3.0,250,0.44751912945322964,-0.0068196711821012414
1,3.0,500,0.4482480425750017,-0.006397242107945044
1,3.0,1000,0.445217088408774,-0.007691884047258903
1,4.0,250,0.5940907012977007,-0.006272232755716739
1,4.0,500,0.5943147790058133,-0.005752059355702842
1,4.0,1000,0.5912938869657148,-0.007098299134349499
1,5.0,250,0.7403954007766156,-0.005424504106014676
1,5.0,500,0.7400836845461988,-0.004836355072149217
1,5.0,1000,0.7371030040949428,-0.006187449076590251
