Case,AoA,h,CL,CD
1,-1.0,0.0,-0.115264800425028,-0.002692918620732738
1,-1.0,1.0,-0.11625999647546034,-0.0023924089344750316
1,-1.0,2.0,-0.11898354994898314,-0.000901973139052201
1,-1.0,4.0,-0.129160653423951,0.007980566677845304
1,-1.0,8.333333333333334,-0.16834598873308013,0.044875067502869403
1,1.0,0.0,0.14128023875880194,-0.0038841769022439484
1,1.0,1.0,0.14117895568339764,-0.0037193136263811034
1,1.0,2.0,0.14025907484329378,-0.0026760798774709592
1,1.0,4.0,0.13098458237027286,0.004968603764807412
1,1.0,8.333333333333334,0.0801608924728734,0.03441039370663641
1,3.0,0.0,0.3940780767173384,-0.0038767722214376305
1,3.0,1.0,0.39414636892927135,-0.003832024175757012
1,3.0,2.0,0.3948526950729694,-0.0033067745038964503
1,3.0,4.0,0.38684104659235335,0.0033838219131320842
1,3.0,8.333333333333334,0.32801733526275834,0.02451105537846816
1,5.0,0.0,0.6410728908165341,-0.0027247412565164684
1,5.0,1.0,0.6422128768297881,-0.0027249295552664483
1,5.0,2.0,0.6444291446664765,-0.0027584987814430893
1,5.0,4.0,0.6379041896469351,0.0032596717563018194
1,5.0,8.333333333333334,0.5747794820730251,0.015440992743613834
